ID	Block	Row	Column	Name	row_factor	column_factor
270	2	15	57	0.25_pep8	0	1
271	2	16	57	0.5_pep54	0	1
272	2	1	58	0.25_pep43	0	1
273	2	2	58	0.5_AK_28665	0	1
274	2	3	58	0.5_pep46	0	1
275	2	4	58	NO	0	1
276	2	5	58	0.25_pep16	0	1
277	2	6	58	NO	0	1
278	2	7	58	0.5_pep59	0	1
279	2	8	58	P012-1	0	1
280	2	9	58	KLOS025	0	1
281	2	10	58	0.25_pep58	0	1
282	2	11	58	0.25_pep55	0	1
283	2	12	58	1.0_pep10	0	1
284	2	13	58	0.5_pep39	0	1
285	2	14	58	1.0_pep63	0	1
286	2	15	58	1.0_pep41	0	1
287	2	16	58	0.25_pep13	0	1
288	2	1	59	1.0_pep60	0	1
289	2	2	59	1.0_pep16	0	1
290	2	3	59	0.25_Ak_28666	0	1
291	2	4	59	1.0_pep11	0	1
292	2	5	59	Puffer	0	1
293	2	6	59	1.0_pep46	0	1
294	2	7	59	1.0_AK_28667	0	1
295	2	8	59	NO	0	1
296	2	9	59	1.0_pep6	0	1
297	2	10	59	Puffer	0	1
298	2	11	59	0.5_pep11	0	1
299	2	12	59	0.5_pep7	0	1
300	2	13	59	KLOS050	0	1
301	2	14	59	NO	0	1
302	2	15	59	0.25_pep14	0	1
303	2	16	59	0.25_pep12	0	1
304	2	1	60	0.5_Christian	0	1
305	2	2	60	NO	0	1
306	2	3	60	Pan3	0	1
307	2	4	60	0.25_pep6	0	1
308	2	5	60	0.5_pep55	0	1
309	2	6	60	1.0_pep40	0	1
310	2	7	60	0.25_pep47	0	1
311	2	8	60	0.25_pep9	0	1
312	2	9	60	NO	0	1
313	2	10	60	0.25_AK_28667	0	1
314	2	11	60	Puffer	0	1
315	2	12	60	0.5_pep48	0	1
316	2	13	60	KLOS100	0	1
317	2	14	60	NEN100	0	1
318	2	15	60	0.5_pep56	0	1
319	2	16	60	KLOA050	0	1
320	3	1	101	NO	0	2
321	3	2	101	0.5_pep60	0	2
322	3	3	101	0.5_pep43	0	2
323	3	4	101	0.25_Christian	0	2
324	3	5	101	1.0_pep37	0	2
325	3	6	101	0.5_pep41	0	2
326	3	7	101	0.5_pep45	0	2
327	3	8	101	KLOA025	0	2
328	3	9	101	NO	0	2
329	3	10	101	0.5_pep50	0	2
330	3	11	101	0.5_pep16	0	2
331	3	12	101	1.0_pep13	0	2
332	3	13	101	0.25_pep10	0	2
333	3	14	101	0.5_pep52	0	2
334	3	15	101	0.25_pep7	0	2
335	3	16	101	0.5_pep40	0	2
336	3	1	102	Ach1	0	2
337	3	2	102	1.0_pep39	0	2
338	3	3	102	1.0_pep47	0	2
339	3	4	102	0.25_pep41	0	2
340	3	5	102	1.0_pep44	0	2
341	3	6	102	NEN025	0	2
342	3	7	102	1.0_Ak_28666	0	2
343	3	8	102	1.0_pep48	0	2
344	3	9	102	1.0_pep49	0	2
345	3	10	102	NEN050	0	2
346	3	11	102	0.5_pep12	0	2
347	3	12	102	0.25_pep63	0	2
348	3	13	102	1.0_pep52	0	2
349	3	14	102	1.0_pep50	0	2
350	3	15	102	Pan3	0	2
351	3	16	102	NO	0	2
352	3	1	103	0.5_pep10	0	2
353	3	2	103	0.25_pep50	0	2
354	3	3	103	0.25_pep49	0	2
355	3	4	103	0.5_pep57	0	2
356	3	5	103	1.0_pep55	0	2
357	3	6	103	Wasser	0	2
358	3	7	103	1.0_pep14	0	2
359	3	8	103	1.0_pep56	0	2
360	3	9	103	Pan3	0	2
361	3	10	103	1.0_Christian	0	2
362	3	11	103	NO	0	2
363	3	12	103	Ach1	0	2
364	3	13	103	0.25_pep40	0	2
365	3	14	103	0.25_pep11	0	2
366	3	15	103	0.25_pep52	0	2
367	3	16	103	Cal2	0	2
368	3	1	104	NO	0	2
369	3	2	104	0.5_pep61	0	2
370	3	3	104	0.5_pep13	0	2
371	3	4	104	Puffer	0	2
372	3	5	104	0.25_pep48	0	2
373	3	6	104	1.0_pep8	0	2
374	3	7	104	NO	0	2
375	3	8	104	0.5_pep44	0	2
376	3	9	104	Ach1	0	2
377	3	10	104	1.0_pep7	0	2
378	3	11	104	0.5_AK_28667	0	2
379	3	12	104	0.25_pep44	0	2
380	3	13	104	1.0_pep45	0	2
381	3	14	104	1.0_pep43	0	2
382	3	15	104	Cal2	0	2
383	3	16	104	0.5_pep9	0	2
384	3	1	105	1.0_pep12	0	2
385	3	2	105	0.25_pep46	0	2
386	3	3	105	0.25_pep54	0	2
387	3	4	105	NO	0	2
388	3	5	105	Puffer	0	2
389	3	6	105	DYE050	0	2
390	3	7	105	0.25_pep60	0	2
391	3	8	105	Cal2	0	2
392	3	9	105	Puffer	0	2
393	3	10	105	1.0_pep59	0	2
394	3	11	105	0.25_pep39	0	2
395	3	12	105	P012-025	0	2
396	3	13	105	Puffer	0	2
397	3	14	105	1.0_pep61	0	2
398	3	15	105	1.0_pep58	0	2
399	3	16	105	Puffer	0	2
400	3	1	106	0.5_pep14	0	2
401	3	2	106	DYE100	0	2
402	3	3	106	1.0_pep57	0	2
403	3	4	106	0.5_pep6	0	2
404	3	5	106	NO	0	2
405	3	6	106	KLOA025	0	2
406	3	7	106	1.0_AK_28665	0	2
407	3	8	106	0.5_pep37	0	2
408	3	9	106	0.5_pep49	0	2
409	3	10	106	Wasser	0	2
410	3	11	106	0.5_Ak_28666	0	2
411	3	12	106	0.5_pep47	0	2
412	3	13	106	0.5_pep58	0	2
413	3	14	106	0.25_AK_28665	0	2
414	3	15	106	1.0_pep54	0	2
415	3	16	106	Puffer	0	2
416	3	1	107	1.0_pep9	0	2
417	3	2	107	0.25_pep45	0	2
418	3	3	107	DYE025	0	2
419	3	4	107	0.25_pep61	0	2
420	3	5	107	0.5_pep8	0	2
421	3	6	107	0.25_pep59	0	2
422	3	7	107	0.25_pep37	0	2
423	3	8	107	Wasser	0	2
424	3	9	107	NO	0	2
425	3	10	107	0.5_pep63	0	2
426	3	11	107	0.25_pep56	0	2
427	3	12	107	0.25_pep57	0	2
428	3	13	107	NO	0	2
429	3	14	107	P012-05	0	2
430	3	15	107	0.25_pep8	0	2
431	3	16	107	0.5_pep54	0	2
432	3	1	108	0.25_pep43	0	2
433	3	2	108	0.5_AK_28665	0	2
434	3	3	108	0.5_pep46	0	2
435	3	4	108	NO	0	2
436	3	5	108	0.25_pep16	0	2
437	3	6	108	NO	0	2
438	3	7	108	0.5_pep59	0	2
439	3	8	108	P012-1	0	2
440	3	9	108	KLOS025	0	2
441	3	10	108	0.25_pep58	0	2
442	3	11	108	0.25_pep55	0	2
443	3	12	108	1.0_pep10	0	2
444	3	13	108	0.5_pep39	0	2
445	3	14	108	1.0_pep63	0	2
446	3	15	108	1.0_pep41	0	2
447	3	16	108	0.25_pep13	0	2
448	3	1	109	1.0_pep60	0	2
449	3	2	109	1.0_pep16	0	2
450	3	3	109	0.25_Ak_28666	0	2
451	3	4	109	1.0_pep11	0	2
452	3	5	109	Puffer	0	2
453	3	6	109	1.0_pep46	0	2
454	3	7	109	1.0_AK_28667	0	2
455	3	8	109	NO	0	2
456	3	9	109	1.0_pep6	0	2
457	3	10	109	Puffer	0	2
458	3	11	109	0.5_pep11	0	2
459	3	12	109	0.5_pep7	0	2
460	3	13	109	KLOS050	0	2
461	3	14	109	NO	0	2
462	3	15	109	0.25_pep14	0	2
463	3	16	109	0.25_pep12	0	2
464	3	1	110	0.5_Christian	0	2
465	3	2	110	NO	0	2
466	3	3	110	Pan3	0	2
467	3	4	110	0.25_pep6	0	2
468	3	5	110	0.5_pep55	0	2
469	3	6	110	1.0_pep40	0	2
470	3	7	110	0.25_pep47	0	2
471	3	8	110	0.25_pep9	0	2
472	3	9	110	NO	0	2
473	3	10	110	0.25_AK_28667	0	2
474	3	11	110	Puffer	0	2
475	3	12	110	0.5_pep48	0	2
476	3	13	110	KLOS100	0	2
477	3	14	110	NEN100	0	2
478	3	15	110	0.5_pep56	0	2
479	3	16	110	KLOA050	0	2
480	4	1	151	NO	0	3
481	4	2	151	0.5_pep60	0	3
482	4	3	151	0.5_pep43	0	3
483	4	4	151	0.25_Christian	0	3
484	4	5	151	1.0_pep37	0	3
485	4	6	151	0.5_pep41	0	3
486	4	7	151	0.5_pep45	0	3
487	4	8	151	KLOA025	0	3
488	4	9	151	NO	0	3
489	4	10	151	0.5_pep50	0	3
490	4	11	151	0.5_pep16	0	3
491	4	12	151	1.0_pep13	0	3
492	4	13	151	0.25_pep10	0	3
493	4	14	151	0.5_pep52	0	3
494	4	15	151	0.25_pep7	0	3
495	4	16	151	0.5_pep40	0	3
496	4	1	152	Ach1	0	3
497	4	2	152	1.0_pep39	0	3
498	4	3	152	1.0_pep47	0	3
499	4	4	152	0.25_pep41	0	3
500	4	5	152	1.0_pep44	0	3
501	4	6	152	NEN025	0	3
502	4	7	152	1.0_Ak_28666	0	3
503	4	8	152	1.0_pep48	0	3
504	4	9	152	1.0_pep49	0	3
505	4	10	152	NEN050	0	3
506	4	11	152	0.5_pep12	0	3
507	4	12	152	0.25_pep63	0	3
508	4	13	152	1.0_pep52	0	3
509	4	14	152	1.0_pep50	0	3
510	4	15	152	Pan3	0	3
511	4	16	152	NO	0	3
512	4	1	153	0.5_pep10	0	3
513	4	2	153	0.25_pep50	0	3
514	4	3	153	0.25_pep49	0	3
515	4	4	153	0.5_pep57	0	3
516	4	5	153	1.0_pep55	0	3
517	4	6	153	Wasser	0	3
518	4	7	153	1.0_pep14	0	3
519	4	8	153	1.0_pep56	0	3
520	4	9	153	Pan3	0	3
521	4	10	153	1.0_Christian	0	3
522	4	11	153	NO	0	3
523	4	12	153	Ach1	0	3
524	4	13	153	0.25_pep40	0	3
525	4	14	153	0.25_pep11	0	3
526	4	15	153	0.25_pep52	0	3
527	4	16	153	Cal2	0	3
528	4	1	154	NO	0	3
529	4	2	154	0.5_pep61	0	3
530	4	3	154	0.5_pep13	0	3
531	4	4	154	Puffer	0	3
532	4	5	154	0.25_pep48	0	3
533	4	6	154	1.0_pep8	0	3
534	4	7	154	NO	0	3
535	4	8	154	0.5_pep44	0	3
536	4	9	154	Ach1	0	3
537	4	10	154	1.0_pep7	0	3
538	4	11	154	0.5_AK_28667	0	3
539	4	12	154	0.25_pep44	0	3
540	4	13	154	1.0_pep45	0	3
541	4	14	154	1.0_pep43	0	3
542	4	15	154	Cal2	0	3
543	4	16	154	0.5_pep9	0	3
544	4	1	155	1.0_pep12	0	3
545	4	2	155	0.25_pep46	0	3
546	4	3	155	0.25_pep54	0	3
547	4	4	155	NO	0	3
548	4	5	155	Puffer	0	3
549	4	6	155	DYE050	0	3
550	4	7	155	0.25_pep60	0	3
551	4	8	155	Cal2	0	3
552	4	9	155	Puffer	0	3
553	4	10	155	1.0_pep59	0	3
554	4	11	155	0.25_pep39	0	3
555	4	12	155	P012-025	0	3
556	4	13	155	Puffer	0	3
557	4	14	155	1.0_pep61	0	3
558	4	15	155	1.0_pep58	0	3
559	4	16	155	Puffer	0	3
560	4	1	156	0.5_pep14	0	3
561	4	2	156	DYE100	0	3
562	4	3	156	1.0_pep57	0	3
563	4	4	156	0.5_pep6	0	3
564	4	5	156	NO	0	3
565	4	6	156	KLOA025	0	3
566	4	7	156	1.0_AK_28665	0	3
567	4	8	156	0.5_pep37	0	3
568	4	9	156	0.5_pep49	0	3
569	4	10	156	Wasser	0	3
570	4	11	156	0.5_Ak_28666	0	3
571	4	12	156	0.5_pep47	0	3
572	4	13	156	0.5_pep58	0	3
573	4	14	156	0.25_AK_28665	0	3
574	4	15	156	1.0_pep54	0	3
575	4	16	156	Puffer	0	3
576	4	1	157	1.0_pep9	0	3
577	4	2	157	0.25_pep45	0	3
578	4	3	157	DYE025	0	3
579	4	4	157	0.25_pep61	0	3
580	4	5	157	0.5_pep8	0	3
581	4	6	157	0.25_pep59	0	3
582	4	7	157	0.25_pep37	0	3
583	4	8	157	Wasser	0	3
584	4	9	157	NO	0	3
585	4	10	157	0.5_pep63	0	3
586	4	11	157	0.25_pep56	0	3
587	4	12	157	0.25_pep57	0	3
588	4	13	157	NO	0	3
589	4	14	157	P012-05	0	3
590	4	15	157	0.25_pep8	0	3
591	4	16	157	0.5_pep54	0	3
592	4	1	158	0.25_pep43	0	3
593	4	2	158	0.5_AK_28665	0	3
594	4	3	158	0.5_pep46	0	3
595	4	4	158	NO	0	3
596	4	5	158	0.25_pep16	0	3
597	4	6	158	NO	0	3
598	4	7	158	0.5_pep59	0	3
599	4	8	158	P012-1	0	3
600	4	9	158	KLOS025	0	3
601	4	10	158	0.25_pep58	0	3
602	4	11	158	0.25_pep55	0	3
603	4	12	158	1.0_pep10	0	3
604	4	13	158	0.5_pep39	0	3
605	4	14	158	1.0_pep63	0	3
606	4	15	158	1.0_pep41	0	3
607	4	16	158	0.25_pep13	0	3
608	4	1	159	1.0_pep60	0	3
609	4	2	159	1.0_pep16	0	3
610	4	3	159	0.25_Ak_28666	0	3
611	4	4	159	1.0_pep11	0	3
612	4	5	159	Puffer	0	3
613	4	6	159	1.0_pep46	0	3
614	4	7	159	1.0_AK_28667	0	3
615	4	8	159	NO	0	3
616	4	9	159	1.0_pep6	0	3
617	4	10	159	Puffer	0	3
618	4	11	159	0.5_pep11	0	3
619	4	12	159	0.5_pep7	0	3
620	4	13	159	KLOS050	0	3
621	4	14	159	NO	0	3
622	4	15	159	0.25_pep14	0	3
623	4	16	159	0.25_pep12	0	3
624	4	1	160	0.5_Christian	0	3
625	4	2	160	NO	0	3
626	4	3	160	Pan3	0	3
627	4	4	160	0.25_pep6	0	3
628	4	5	160	0.5_pep55	0	3
629	4	6	160	1.0_pep40	0	3
630	4	7	160	0.25_pep47	0	3
631	4	8	160	0.25_pep9	0	3
632	4	9	160	NO	0	3
633	4	10	160	0.25_AK_28667	0	3
634	4	11	160	Puffer	0	3
635	4	12	160	0.5_pep48	0	3
636	4	13	160	KLOS100	0	3
637	4	14	160	NEN100	0	3
638	4	15	160	0.5_pep56	0	3
639	4	16	160	KLOA050	0	3
640	5	145	1	NO	1	0
641	5	146	1	0.5_pep60	1	0
642	5	147	1	0.5_pep43	1	0
643	5	148	1	0.25_Christian	1	0
644	5	149	1	1.0_pep37	1	0
645	5	150	1	0.5_pep41	1	0
646	5	151	1	0.5_pep45	1	0
647	5	152	1	KLOA025	1	0
648	5	153	1	NO	1	0
649	5	154	1	0.5_pep50	1	0
650	5	155	1	0.5_pep16	1	0
651	5	156	1	1.0_pep13	1	0
652	5	157	1	0.25_pep10	1	0
653	5	158	1	0.5_pep52	1	0
654	5	159	1	0.25_pep7	1	0
655	5	160	1	0.5_pep40	1	0
656	5	145	2	Ach1	1	0
657	5	146	2	1.0_pep39	1	0
658	5	147	2	1.0_pep47	1	0
659	5	148	2	0.25_pep41	1	0
660	5	149	2	1.0_pep44	1	0
661	5	150	2	NEN025	1	0
662	5	151	2	1.0_Ak_28666	1	0
663	5	152	2	1.0_pep48	1	0
664	5	153	2	1.0_pep49	1	0
665	5	154	2	NEN050	1	0
666	5	155	2	0.5_pep12	1	0
667	5	156	2	0.25_pep63	1	0
668	5	157	2	1.0_pep52	1	0
669	5	158	2	1.0_pep50	1	0
670	5	159	2	Pan3	1	0
671	5	160	2	NO	1	0
672	5	145	3	0.5_pep10	1	0
673	5	146	3	0.25_pep50	1	0
674	5	147	3	0.25_pep49	1	0
675	5	148	3	0.5_pep57	1	0
676	5	149	3	1.0_pep55	1	0
677	5	150	3	Wasser	1	0
678	5	151	3	1.0_pep14	1	0
679	5	152	3	1.0_pep56	1	0
680	5	153	3	Pan3	1	0
681	5	154	3	1.0_Christian	1	0
682	5	155	3	NO	1	0
683	5	156	3	Ach1	1	0
684	5	157	3	0.25_pep40	1	0
685	5	158	3	0.25_pep11	1	0
686	5	159	3	0.25_pep52	1	0
687	5	160	3	Cal2	1	0
688	5	145	4	NO	1	0
689	5	146	4	0.5_pep61	1	0
690	5	147	4	0.5_pep13	1	0
691	5	148	4	Puffer	1	0
692	5	149	4	0.25_pep48	1	0
693	5	150	4	1.0_pep8	1	0
694	5	151	4	NO	1	0
695	5	152	4	0.5_pep44	1	0
696	5	153	4	Ach1	1	0
697	5	154	4	1.0_pep7	1	0
698	5	155	4	0.5_AK_28667	1	0
699	5	156	4	0.25_pep44	1	0
700	5	157	4	1.0_pep45	1	0
701	5	158	4	1.0_pep43	1	0
702	5	159	4	Cal2	1	0
703	5	160	4	0.5_pep9	1	0
704	5	145	5	1.0_pep12	1	0
705	5	146	5	0.25_pep46	1	0
706	5	147	5	0.25_pep54	1	0
707	5	148	5	NO	1	0
708	5	149	5	Puffer	1	0
709	5	150	5	DYE050	1	0
710	5	151	5	0.25_pep60	1	0
711	5	152	5	Cal2	1	0
712	5	153	5	Puffer	1	0
713	5	154	5	1.0_pep59	1	0
714	5	155	5	0.25_pep39	1	0
715	5	156	5	P012-025	1	0
716	5	157	5	Puffer	1	0
717	5	158	5	1.0_pep61	1	0
718	5	159	5	1.0_pep58	1	0
719	5	160	5	Puffer	1	0
720	5	145	6	0.5_pep14	1	0
721	5	146	6	DYE100	1	0
722	5	147	6	1.0_pep57	1	0
723	5	148	6	0.5_pep6	1	0
724	5	149	6	NO	1	0
725	5	150	6	KLOA025	1	0
726	5	151	6	1.0_AK_28665	1	0
727	5	152	6	0.5_pep37	1	0
728	5	153	6	0.5_pep49	1	0
729	5	154	6	Wasser	1	0
730	5	155	6	0.5_Ak_28666	1	0
731	5	156	6	0.5_pep47	1	0
732	5	157	6	0.5_pep58	1	0
