sid	labeling	concentration	concentration_unit	buffer	ph	purity	produced_by	production_date	comment	stock	ligand
P001-0125		0.125		Natriumhydrogencarbonat	8.5					False	P001
P001-00625		0.0625		Natriumhydrogencarbonat	8.5					False	P001
P001-00313		0.0313		Natriumhydrogencarbonat	8.5					False	P001
P001-00156		0.0156		Natriumhydrogencarbonat	8.5					False	P001
P008-2		2.0		Natriumhydrogencarbonat	8.5					False	P008
P008-1		1.0		Natriumhydrogencarbonat	8.5					True	P008
P008-05		0.5		Natriumhydrogencarbonat	8.5					False	P008
P008-025		0.25		Natriumhydrogencarbonat	8.5					False	P008
P008-0125		0.125		Natriumhydrogencarbonat	8.5					False	P008
P008-00625		0.0625		Natriumhydrogencarbonat	8.5					False	P008
P008-00313		0.0313		Natriumhydrogencarbonat	8.5					False	P008
P008-00156		0.0156		Natriumhydrogencarbonat	8.5					False	P008
P009-2		2.0		Natriumhydrogencarbonat	8.5					False	P009
P009-1		1.0		Natriumhydrogencarbonat	8.5					True	P009
P009-05		0.5		Natriumhydrogencarbonat	8.5					False	P009
P009-025		0.25		Natriumhydrogencarbonat	8.5					False	P009
P009-0125		0.125		Natriumhydrogencarbonat	8.5					False	P009
P009-00625		0.0625		Natriumhydrogencarbonat	8.5					False	P009
P009-00313		0.0313		Natriumhydrogencarbonat	8.5					False	P009
P009-00156		0.0156		Natriumhydrogencarbonat	8.5					False	P009
P010-2		2.0		Natriumhydrogencarbonat	8.5					False	P010
P010-1		1.0		Natriumhydrogencarbonat	8.5					True	P010
P010-05		0.5		Natriumhydrogencarbonat	8.5					False	P010
P010-025		0.25		Natriumhydrogencarbonat	8.5					False	P010
P010-0125		0.125		Natriumhydrogencarbonat	8.5					False	P010
P010-00625		0.0625		Natriumhydrogencarbonat	8.5					False	P010
P010-00313		0.0313		Natriumhydrogencarbonat	8.5					False	P010
P010-00156		0.0156		Natriumhydrogencarbonat	8.5					False	P010
P013-100		0.1		Natriumhydrogencarbonat	8.5					True	P013
P013-050		0.05		Natriumhydrogencarbonat	8.5					False	P013
P013-025		0.025		Natriumhydrogencarbonat	8.5					False	P013
P013-0125		0.0125		Natriumhydrogencarbonat	8.5					False	P013
P013-00625		0.00625		Natriumhydrogencarbonat	8.5					False	P013
P013-00313		0.00313		Natriumhydrogencarbonat	8.5					False	P013
P013-00156		0.00156		Natriumhydrogencarbonat	8.5					False	P013
P013-00078		0.00078		Natriumhydrogencarbonat	8.5					False	P013
1.0_pep6		1.0								True	P001
0.5_pep6		0.5								False	P001
0.25_pep6		0.25								False	P001
1.0_pep7		1.0								True	pep7
0.5_pep7		0.5								False	pep7
0.25_pep7		0.25								False	pep7
1.0_pep8		1.0								True	pep8
0.5_pep8		0.5								False	pep8
0.25_pep8		0.25								False	pep8
1.0_pep9		1.0								True	pep9
0.5_pep9		0.5								False	pep9
0.25_pep9		0.25								False	pep9
1.0_pep10		1.0								True	P014
0.5_pep10		0.5								False	P014
0.25_pep10		0.25								False	P014
1.0_pep11		1.0								True	pep11
0.5_pep11		0.5								False	pep11
0.25_pep11		0.25								False	pep11
1.0_pep12		1.0								True	P015
0.5_pep12		0.5								False	P015
0.25_pep12		0.25								False	P015
1.0_pep13		1.0								True	P016
0.5_pep13		0.5								False	P016
0.25_pep13		0.25								False	P016
1.0_pep14		1.0								True	P017
0.5_pep14		0.5								False	P017
0.25_pep14		0.25								False	P017
1.0_pep16		1.0								True	P019
0.5_pep16		0.5								False	P019
0.25_pep16		0.25								False	P019
1.0_pep37		1.0								True	pep37
0.5_pep37		0.5								False	pep37
0.25_pep37		0.25								False	pep37
1.0_pep39		1.0								True	pep39
0.5_pep39		0.5								False	pep39
0.25_pep39		0.25								False	pep39
1.0_pep40		1.0								True	pep40
0.5_pep40		0.5								False	pep40
0.25_pep40		0.25								False	pep40
1.0_pep41		1.0								True	pep41
0.5_pep41		0.5								False	pep41
0.25_pep41		0.25								False	pep41
1.0_pep43		1.0								True	pep43
0.5_pep43		0.5								False	pep43
0.25_pep43		0.25								False	pep43
1.0_pep44		1.0								True	pep44
0.5_pep44		0.5								False	pep44
0.25_pep44		0.25								False	pep44
1.0_pep45		1.0								True	pep45
0.5_pep45		0.5								False	pep45
0.25_pep45		0.25								False	pep45
1.0_pep46		1.0								True	pep46
0.5_pep46		0.5								False	pep46
0.25_pep46		0.25								False	pep46
1.0_pep47		1.0								True	pep47
0.5_pep47		0.5								False	pep47
0.25_pep47		0.25								False	pep47
1.0_pep48		1.0								True	pep48
0.5_pep48		0.5								False	pep48
0.25_pep48		0.25								False	pep48
1.0_pep49		1.0								True	pep49
0.5_pep49		0.5								False	pep49
0.25_pep49		0.25								False	pep49
1.0_pep50		1.0								True	pep50
0.5_pep50		0.5								False	pep50
0.25_pep50		0.25								False	pep50
1.0_pep52		1.0								True	pep52
0.5_pep52		0.5								False	pep52
0.25_pep52		0.25								False	pep52
1.0_pep54		1.0								True	pep54
0.5_pep54		0.5								False	pep54
0.25_pep54		0.25								False	pep54
1.0_pep55		1.0								True	pep55
0.5_pep55		0.5								False	pep55
0.25_pep55		0.25								False	pep55
1.0_pep56		1.0								True	pep56
0.5_pep56		0.5								False	pep56
0.25_pep56		0.25								False	pep56
1.0_pep57		1.0								True	pep57
0.5_pep57		0.5								False	pep57
0.25_pep57		0.25								False	pep57
1.0_pep58		1.0								True	pep58
0.5_pep58		0.5								False	pep58
0.25_pep58		0.25								False	pep58
1.0_pep59		1.0								True	pep59
0.5_pep59		0.5								False	pep59
0.25_pep59		0.25								False	pep59
1.0_pep60		1.0								True	pep60
0.5_pep60		0.5								False	pep60
0.25_pep60		0.25								False	pep60
1.0_pep61		1.0								True	pep61
0.5_pep61		0.5								False	pep61
0.25_pep61		0.25								False	pep61
1.0_pep63		1.0								True	pep63
0.5_pep63		0.5								False	pep63
0.25_pep63		0.25								False	pep63
1.0_Kloe_Amid		1.0								True	P031
0.5_Kloe_Amid		0.5								False	P031
0.25_Kloe_Amid		0.25								False	P031
1.0_pep_Nenad		1.0								True	P013
0.5_pep_Nenad		0.5								False	P013
0.25_pep_Nenad		0.25								False	P013
1.0_Leuchtefix		1.0								True	Dye001
0.5_Leuchtefix		0.5								False	Dye001
0.25_Leuchtefix		0.25								False	Dye001
1.0_Christian		1.0								True	Christian
0.5_Christian		0.5								False	Christian
0.25_Christian		0.25								False	Christian
Pep44_1		1.0		NaHCO3	8.5					True	pep44
Pep42_1		1.0		NaHCO3	8.5					True	pep42
Pep41_1		1.0		NaHCO3	8.5					True	pep41
Pep39_1		1.0		NaHCO3	8.5					True	pep39
P019_1		1.0		NaHCO3	8.5					True	P019
Pep7_1		1.0		NaHCO3	8.5					True	pep7
Neutra+sl6b_0.1		0.1		NaHCO3	8.5					True	neutra1
Fet_0.3		0.3		NaHCO3	8.5					True	P012
